NewUsed,Year,Make,Model,ModelNumber,ExteriorColor,EngineCylinders,Trim,Doors,VIN,SellingPrice,Miles,Certified,EPACity,EPAHighway,FuelType,DriveTrain,TransmissionDescription
NEW,2023,Dodge,Challenger,LAEL22,Sublime Metallic Clearcoat,6,GT AWD,2,2C3CDZKG5PH575222,48540,0,FALSE,18,27,Gasoline,All Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler,JLJL74,Sting-Gray Clearcoat,6,Sport Altitude 4 Door 4x4,4,1C4HJXDG2PW635762,55275,0,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2021,Dodge,Durango,WDEM75,White Knuckle Clearcoat,8,SRT Hellcat AWD,4,1C4SDJH94MC882882,91988,7420,FALSE,12,17,Gasoline,All Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Wrangler,JLJL74,Sarge Green Clearcoat,6,Sport S 4 Door 4x4,4,1C4HJXDG2PW624390,50585,0,FALSE,19,24,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Dodge,Durango,WDES75,White Knuckle Clearcoat,8,R/T Plus AWD,4,1C4SDJCTXPC604737,60440,0,FALSE,14,22,Gasoline,All Wheel Drive,8-Speed Automatic
NEW,2023,Jeep,Grand Cherokee L,WLJP75,Midnight Sky,6,Limited 4x4,4,1C4RJKBG0P8842536,63995,0,FALSE,18,25,Gasoline,Four Wheel Drive,8-Speed Automatic
NEW,2023,Dodge,Durango,WDES75,DB Black Crystal Clearcoat,8,R/T Plus AWD,4,1C4SDJCT3PC591782,60440,0,FALSE,14,22,Gasoline,All Wheel Drive,8-Speed Automatic
USED,2020,Jeep,Grand Cherokee,WKJP74,Velvet Red Pearlcoat,6,Limited X 4x4,4,1C4RJFBG4LC105287,38988,28598,FALSE,18,25,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2020,Jeep,Grand Cherokee,WKJP74,Bright White Clearcoat,6,Limited X 4x4,4,1C4RJFBG9LC240040,42988,7395,FALSE,18,25,Gasoline,Four Wheel Drive,8-Speed Automatic
USED,2016,Dodge,Challenger,LADP22,Pitch Black Clearcoat,8,2dr Cpe R/T Plus,2,2C3CDZBT0GH284480,32488,30299,FALSE,16,25,Gasoline,Rear Wheel Drive,8-Speed Automatic
USED,2020,Jeep,Compass,MPJM74,Velvet Red Pearlcoat,4,Latitude 4x4,4,3C4NJDBB5LT197649,25888,4944,FALSE,22,31,Gasoline,Four Wheel Drive,9-Speed 948TE Automatic
USED,2020,Chrysler,Voyager,RUCL53,billet silver metallic clearcoat,6,LX FWD,4,2C4RC1CG3LR132225,33888,4084,FALSE,19,28,Gasoline,Front Wheel Drive,9-Speed 948TE Automatic
USED,2019,Dodge,Charger,LDES48,Octane Red Pearlcoat,6,SXT AWD,4,2C3CDXJG1KH710937,30988,1026,FALSE,18,27,Gasoline,All Wheel Drive,8-Speed Automatic
USED,2020,Subaru,Impreza,LLD,Crimson Red Pearl,4,Premium 5-door CVT,4,4S3GTAD63L3701080,26273,4253,FALSE,28,36,Gasoline,All Wheel Drive,CVT Lineartronic
